Image_URL,Page_ID,Source_Region_ID,Target_Region_ID,Hop_Distance,edge_weight,clustering_f1,bcubed_f1,coverage,class_accuracy,tp,fp,fn
https://jawi.sgp1.digitaloceanspaces.com/page_scans/UM-1956-07-25-5.jpg,UM-1956-07-25-5,r_1779782034020,r_1779782037673,1,1.0,0.8421052631578947,0.8767676767676768,1.0,0.75,16,5,1
https://jawi.sgp1.digitaloceanspaces.com/page_scans/UM-1956-07-25-5.jpg,UM-1956-07-25-5,r_1779782034020,r_1779782044770,1,1.0,0.8421052631578947,0.8767676767676768,1.0,0.75,16,5,1
https://jawi.sgp1.digitaloceanspaces.com/page_scans/UM-1956-07-25-5.jpg,UM-1956-07-25-5,r_1779782037673,r_1779782008934,1,-1.0,0.8421052631578947,0.8767676767676768,1.0,0.75,16,5,1
https://jawi.sgp1.digitaloceanspaces.com/page_scans/UM-1956-07-25-5.jpg,UM-1956-07-25-5,r_1779782037673,r_1779782029603,1,1.0,0.8421052631578947,0.8767676767676768,1.0,0.75,16,5,1
https://jawi.sgp1.digitaloceanspaces.com/page_scans/UM-1956-07-25-5.jpg,UM-1956-07-25-5,r_1779782037673,r_1779782034020,1,1.0,0.8421052631578947,0.8767676767676768,1.0,0.75,16,5,1
https://jawi.sgp1.digitaloceanspaces.com/page_scans/UM-1956-07-25-5.jpg,UM-1956-07-25-5,r_1779782037673,r_1779782044770,1,1.0,0.8421052631578947,0.8767676767676768,1.0,0.75,16,5,1
https://jawi.sgp1.digitaloceanspaces.com/page_scans/UM-1956-07-25-5.jpg,UM-1956-07-25-5,r_1779782044770,r_1779782008934,1,-1.0,0.8421052631578947,0.8767676767676768,1.0,0.75,16,5,1
https://jawi.sgp1.digitaloceanspaces.com/page_scans/UM-1956-07-25-5.jpg,UM-1956-07-25-5,r_1779782044770,r_1779782029603,1,1.0,0.8421052631578947,0.8767676767676768,1.0,0.75,16,5,1
https://jawi.sgp1.digitaloceanspaces.com/page_scans/UM-1956-07-25-5.jpg,UM-1956-07-25-5,r_1779782044770,r_1779782034020,1,1.0,0.8421052631578947,0.8767676767676768,1.0,0.75,16,5,1
https://jawi.sgp1.digitaloceanspaces.com/page_scans/UM-1956-07-25-5.jpg,UM-1956-07-25-5,r_1779782044770,r_1779782037673,1,1.0,0.8421052631578947,0.8767676767676768,1.0,0.75,16,5,1
https://jawi.sgp1.digitaloceanspaces.com/page_scans/UM-1956-07-25-5.jpg,UM-1956-07-25-5,r_1779782055727,r_1779782063669,1,1.0,0.8421052631578947,0.8767676767676768,1.0,0.75,16,5,1
https://jawi.sgp1.digitaloceanspaces.com/page_scans/UM-1956-07-25-5.jpg,UM-1956-07-25-5,r_1779782055727,r_1779782074431,1,1.0,0.8421052631578947,0.8767676767676768,1.0,0.75,16,5,1
https://jawi.sgp1.digitaloceanspaces.com/page_scans/UM-1956-07-25-5.jpg,UM-1956-07-25-5,r_1779782055727,r_1779782079022,1,1.0,0.8421052631578947,0.8767676767676768,1.0,0.75,16,5,1
https://jawi.sgp1.digitaloceanspaces.com/page_scans/UM-1956-07-25-5.jpg,UM-1956-07-25-5,r_1779782055727,r_1779782081519,1,1.0,0.8421052631578947,0.8767676767676768,1.0,0.75,16,5,1
https://jawi.sgp1.digitaloceanspaces.com/page_scans/UM-1956-07-25-5.jpg,UM-1956-07-25-5,r_1779782063669,r_1779782055727,1,1.0,0.8421052631578947,0.8767676767676768,1.0,0.75,16,5,1
https://jawi.sgp1.digitaloceanspaces.com/page_scans/UM-1956-07-25-5.jpg,UM-1956-07-25-5,r_1779782063669,r_1779782074431,1,1.0,0.8421052631578947,0.8767676767676768,1.0,0.75,16,5,1
https://jawi.sgp1.digitaloceanspaces.com/page_scans/UM-1956-07-25-5.jpg,UM-1956-07-25-5,r_1779782063669,r_1779782079022,1,1.0,0.8421052631578947,0.8767676767676768,1.0,0.75,16,5,1
https://jawi.sgp1.digitaloceanspaces.com/page_scans/UM-1956-07-25-5.jpg,UM-1956-07-25-5,r_1779782063669,r_1779782081519,1,1.0,0.8421052631578947,0.8767676767676768,1.0,0.75,16,5,1
https://jawi.sgp1.digitaloceanspaces.com/page_scans/UM-1956-07-25-5.jpg,UM-1956-07-25-5,r_1779782074431,r_1779782055727,1,1.0,0.8421052631578947,0.8767676767676768,1.0,0.75,16,5,1
https://jawi.sgp1.digitaloceanspaces.com/page_scans/UM-1956-07-25-5.jpg,UM-1956-07-25-5,r_1779782074431,r_1779782063669,1,1.0,0.8421052631578947,0.8767676767676768,1.0,0.75,16,5,1
https://jawi.sgp1.digitaloceanspaces.com/page_scans/UM-1956-07-25-5.jpg,UM-1956-07-25-5,r_1779782074431,r_1779782079022,1,1.0,0.8421052631578947,0.8767676767676768,1.0,0.75,16,5,1
https://jawi.sgp1.digitaloceanspaces.com/page_scans/UM-1956-07-25-5.jpg,UM-1956-07-25-5,r_1779782074431,r_1779782081519,1,1.0,0.8421052631578947,0.8767676767676768,1.0,0.75,16,5,1
https://jawi.sgp1.digitaloceanspaces.com/page_scans/UM-1956-07-25-5.jpg,UM-1956-07-25-5,r_1779782079022,r_1779782055727,1,1.0,0.8421052631578947,0.8767676767676768,1.0,0.75,16,5,1
https://jawi.sgp1.digitaloceanspaces.com/page_scans/UM-1956-07-25-5.jpg,UM-1956-07-25-5,r_1779782079022,r_1779782063669,1,1.0,0.8421052631578947,0.8767676767676768,1.0,0.75,16,5,1
https://jawi.sgp1.digitaloceanspaces.com/page_scans/UM-1956-07-25-5.jpg,UM-1956-07-25-5,r_1779782079022,r_1779782074431,1,1.0,0.8421052631578947,0.8767676767676768,1.0,0.75,16,5,1
https://jawi.sgp1.digitaloceanspaces.com/page_scans/UM-1956-07-25-5.jpg,UM-1956-07-25-5,r_1779782079022,r_1779782081519,1,1.0,0.8421052631578947,0.8767676767676768,1.0,0.75,16,5,1
https://jawi.sgp1.digitaloceanspaces.com/page_scans/UM-1956-07-25-5.jpg,UM-1956-07-25-5,r_1779782081519,r_1779782055727,1,1.0,0.8421052631578947,0.8767676767676768,1.0,0.75,16,5,1
https://jawi.sgp1.digitaloceanspaces.com/page_scans/UM-1956-07-25-5.jpg,UM-1956-07-25-5,r_1779782081519,r_1779782063669,1,1.0,0.8421052631578947,0.8767676767676768,1.0,0.75,16,5,1
https://jawi.sgp1.digitaloceanspaces.com/page_scans/UM-1956-07-25-5.jpg,UM-1956-07-25-5,r_1779782081519,r_1779782074431,1,1.0,0.8421052631578947,0.8767676767676768,1.0,0.75,16,5,1
https://jawi.sgp1.digitaloceanspaces.com/page_scans/UM-1956-07-25-5.jpg,UM-1956-07-25-5,r_1779782081519,r_1779782079022,1,1.0,0.8421052631578947,0.8767676767676768,1.0,0.75,16,5,1
